6月国際物流コスト計算,,,,,,,,
 成本项                                            物流公司,EMS,神户,神洲,要町,FedEx転送,JD(madme),SF CN,ヤマト
"消耗品/ケース
（段ボール/保冷剤/梱包用紙/ テ－プ等）",450,380,300,90,90,450,300,なし
"国内物流費/ケース
（佐川）",——,"1,250","1,250",400,500,——,1000,
"国際物流費
（EMS/SF等）",地域別に,130元/KG,180元/KG,1800円/KG,600元/KG,140元/KG,,
関税（橄榄枝）,16474円,——,——,——,——,——,——,
総件数/件,465,71,65,78,1,36,5,
総箱数/箱,"1,092","3,905","1,404",191,1,75,16,
物流費合計/円,"1,186,154","852,248","815,500","211,000","11,600",100707,6500,
物流コスト/箱（JPY）,1308円,248円,606円,1304円,12190円,1355円,406円,
